date,cases_new,cases_recovered,deaths_new
3/22/2021,1116,1495,5
3/23/2021,1384,1058,1
3/24/2021,1268,1083,2
3/25/2021,1360,1491,2
3/26/2021,1275,1509,1
3/27/2021,1199,1257,2
3/28/2021,1302,1127,4
3/29/2021,941,1097,5
3/30/2021,1133,1148,4
3/31/2021,1482,1070,8
4/1/2021,1178,1377,6
4/2/2021,1294,1442,5
4/3/2021,1638,1449,3
4/4/2021,1349,1270,2
4/5/2021,1070,1294,7
4/6/2021,1300,1412,5
4/7/2021,1139,1199,4
4/8/2021,1285,1175,4
4/9/2021,1854,1247,5
4/10/2021,1510,1248,8
4/11/2021,1739,1216,8
4/12/2021,1317,1052,4
4/13/2021,1767,1290,12
4/14/2021,1889,1485,8
4/15/2021,2148,1259,10
4/16/2021,2551,1524,2
4/17/2021,2331,1832,5
4/18/2021,2195,1427,8
4/19/2021,2078,1402,8
4/20/2021,2341,1592,3
4/21/2021,2340,1910,11
4/22/2021,2875,2541,7
4/23/2021,2847,2341,8
4/24/2021,2717,2292,11
4/25/2021,2690,1853,10
4/26/2021,2776,1803,13
4/27/2021,2733,2019,13
4/28/2021,3142,1822,15
4/29/2021,3332,1943,15
4/30/2021,3788,2640,14
5/1/2021,2881,2462,15
5/2/2021,3418,2698,12
5/3/2021,2500,2068,18
5/4/2021,3120,2334,23
5/5/2021,3744,2304,17
5/6/2021,3551,2709,19
5/7/2021,4498,3449,22
5/8/2021,4519,2719,25
5/9/2021,3733,3211,26
5/10/2021,3807,3454,17
5/11/2021,3973,2848,22
5/12/2021,4765,3124,39
5/13/2021,4855,3347,27
5/14/2021,4113,4190,34
5/15/2021,4140,3432,44
5/16/2021,3780,3990,36
5/17/2021,4446,2784,45
5/18/2021,4865,3497,47
5/19/2021,6075,3516,46
5/20/2021,6806,3916,59
5/21/2021,6493,4508,50
5/22/2021,6320,4694,50
5/23/2021,6976,3587,49
5/24/2021,6509,3452,61
5/25/2021,7289,3789,60
5/26/2021,7478,4665,63
5/27/2021,7857,4598,59
5/28/2021,8290,4814,61
5/29/2021,9020,5527,98
5/30/2021,6999,5121,79
5/31/2021,6824,5251,67
6/1/2021,7105,6083,71
6/2/2021,7703,5777,126
6/3/2021,8209,7049,103
6/4/2021,7748,6624,86
6/5/2021,7452,6105,109
6/6/2021,6241,5133,87
6/7/2021,5271,7548,82
6/8/2021,5566,6962,76
6/9/2021,6239,7386,75
6/10/2021,5671,7325,73
6/11/2021,6849,7749,84
6/12/2021,5793,8334,76
6/13/2021,5304,8163,64
6/14/2021,4949,6588,60
6/15/2021,5419,6831,101
6/16/2021,5150,7240,73
6/17/2021,5738,7530,60
6/18/2021,6440,6861,74
6/19/2021,5911,6918,72
6/20/2021,5293,5941,60
6/21/2021,4611,5439,69
6/22/2021,4743,5557,77
6/23/2021,5244,6372,83
6/24/2021,5841,5411,84
6/25/2021,5812,6775,82
6/26/2021,5803,5193,81
6/27/2021,5586,4777,60
6/28/2021,5218,4744,57
6/29/2021,6437,5298,107
6/30/2021,6276,4929,62
7/1/2021,6988,5580,84
7/2/2021,6982,6278,73
7/3/2021,6658,5677,107
7/4/2021,6045,5271,63
7/5/2021,6387,4532,77
7/6/2021,7654,4797,103
7/7/2021,7097,4863,91
7/8/2021,8868,5802,135
7/9/2021,9180,5713,77
7/10/2021,9353,5910,87
7/11/2021,9105,5194,90
7/12/2021,8574,5041,103
7/13/2021,11079,5990,125
7/14/2021,11618,6377,118
7/15/2021,13215,6095,110
7/16/2021,12541,6742,115
7/17/2021,12528,6629,138
7/18/2021,10710,5778,153
7/19/2021,10972,6439,129
7/20/2021,12366,7567,93
7/21/2021,11985,7902,199
7/22/2021,13034,8436,134
7/23/2021,15573,10094,144
7/24/2021,15902,9471,184
7/25/2021,17045,9683,92
7/26/2021,14516,9371,207
7/27/2021,16117,11526,207
7/28/2021,17405,12373,143
7/29/2021,17170,12930,174
7/30/2021,16840,12179,134
7/31/2021,17786,11718,165
8/1/2021,17150,11326,160
8/2/2021,15764,11767,219
8/3/2021,17105,12297,195
8/4/2021,19819,12704,257
8/5/2021,20596,13893,164
8/6/2021,20889,16394,160
8/7/2021,19257,16322,210
8/8/2021,18688,17055,360
8/9/2021,17236,15187,212
8/10/2021,19991,16258,201
8/11/2021,20780,17973,211
8/12/2021,21668,17687,318
8/13/2021,21468,17025,277
8/14/2021,20670,17655,260
8/15/2021,20546,16945,282
8/16/2021,19740,17450,274
8/17/2021,19631,16467,293
8/18/2021,22242,19680,225
8/19/2021,22948,21720,178
8/20/2021,23564,21448,233
8/21/2021,22262,18576,223
8/22/2021,19807,18200,232
8/23/2021,17672,19053,174
8/24/2021,20837,18613,211
8/25/2021,22642,20798,265
8/26/2021,24599,22657,393
8/27/2021,22070,21877,339
8/28/2021,22597,19492,252
8/29/2021,20579,20845,285
8/30/2021,19268,21257,294
8/31/2021,20897,18465,282
9/1/2021,18762,21073,278
9/2/2021,20988,23473,249
9/3/2021,19378,22399,330
9/4/2021,19057,21582,362
9/5/2021,20396,20573,336
9/6/2021,17352,20201,272
9/7/2021,18547,18902,311
9/8/2021,19733,22701,361
9/9/2021,19307,24855,322
9/10/2021,21176,21476,341
9/11/2021,19550,21771,592
9/12/2021,19198,20980,292
9/13/2021,16073,24813,413
9/14/2021,15669,18053,463
9/15/2021,19495,18760,422
9/16/2021,18815,16939,346
9/17/2021,17577,22970,387
9/18/2021,15549,17205,324
9/19/2021,14954,23469,376
9/20/2021,14345,16814,301
9/21/2021,15759,16650,334
9/22/2021,14990,19702,487
9/23/2021,13754,16628,116
9/24/2021,14554,16751,250
9/25/2021,13899,18074,228
9/26/2021,13104,20971,278
9/27/2021,10959,16430,258
9/28/2021,11332,14160,240
9/29/2021,12434,17000,208
9/30/2021,12735,17725,192
10/1/2021,11889,15891,121
10/2/2021,10915,15396,109
10/3/2021,9066,14454,118
10/4/2021,8075,15456,76
10/5/2021,8817,15615,117
10/6/2021,9380,13045,105
10/7/2021,9890,12884,132
10/8/2021,9751,12724,78
10/9/2021,8743,14422,74
10/10/2021,7373,10959,64
10/11/2021,6709,10833,93
10/12/2021,7276,10555,103
10/13/2021,7950,10832,68
10/14/2021,8084,12456,88
10/15/2021,7420,10145,89
10/16/2021,7509,9531,88
10/17/2021,6145,9231,63
10/18/2021,5434,8435,72
10/19/2021,5745,8933,69
10/20/2021,5516,9401,76
10/21/2021,6210,7562,96
10/22/2021,6630,7630,78
10/23/2021,5828,9178,42
10/24/2021,5666,6978,46
10/25/2021,4782,7414,92
10/26/2021,5726,5607,84
10/27/2021,6148,7595,98
10/28/2021,6377,6637,95
10/29/2021,6060,7297,63
10/30/2021,5854,6715,44
10/31/2021,4979,6127,36
11/1/2021,4626,5299,63
11/2/2021,5071,5372,70
11/3/2021,5291,4947,46
11/4/2021,5713,5865,64
11/5/2021,4922,5579,47
11/6/2021,4701,5382,54
11/7/2021,4343,5190,35
11/8/2021,4543,7348,58
11/9/2021,5403,5311,78
11/10/2021,6243,5068,59
11/11/2021,6323,5337,49
11/12/2021,6517,6026,41
11/13/2021,5809,4712,55
11/14/2021,5162,5019,45
11/15/2021,5143,4551,53
11/16/2021,5413,6013,40
11/17/2021,6288,4743,68
11/18/2021,6380,5760,55
11/19/2021,6355,5031,45
11/20/2021,5859,4970,41
11/21/2021,4854,5525,24
11/22/2021,4885,5628,63
11/23/2021,5594,4908,47
11/24/2021,5755,5082,37
11/25/2021,6144,6602,48
11/26/2021,5501,6664,45
11/27/2021,5097,5352,40
11/28/2021,4239,5007,29
11/29/2021,4087,4984,61
11/30/2021,4879,5168,55
12/1/2021,5439,6803,49
12/2/2021,5806,7246,47
12/3/2021,5551,5301,17
12/4/2021,4896,4676,36
12/5/2021,4298,4928,40
12/6/2021,4262,5894,38
12/7/2021,4965,4817,66
12/8/2021,5020,4525,28
12/9/2021,5446,5427,41
12/10/2021,5058,4997,44
12/11/2021,4626,4690,31
12/12/2021,3490,5399,17
12/13/2021,3504,4401,29
12/14/2021,4097,4301,48
12/15/2021,3900,4552,33
12/16/2021,4262,4985,37
12/17/2021,4362,5098,18
12/18/2021,4083,5435,29
12/19/2021,3108,3701,19
12/20/2021,2589,3810,43
12/21/2021,3140,4277,57
12/22/2021,3519,5118,30
12/23/2021,3510,4997,44
12/24/2021,3528,4489,25
12/25/2021,3160,4420,25
12/26/2021,2778,3539,19
12/27/2021,2757,4620,35
12/28/2021,2897,3434,23
12/29/2021,3683,4322,36
12/30/2021,3997,3984,34
12/31/2021,3573,3988,25
1/1/2022,3386,3547,26
1/2/2022,2882,3291,19
1/3/2022,2690,3535,28
1/4/2022,2842,2862,31
1/5/2022,3270,3195,18
1/6/2022,3543,3484,19
1/7/2022,3381,3447,16
1/8/2022,3251,3161,11
1/9/2022,2888,2714,23
1/10/2022,2641,2808,18
1/11/2022,3175,2977,27
1/12/2022,3198,3200,15
1/13/2022,3684,3292,12
1/14/2022,3346,3052,12
1/15/2022,3074,2828,19
1/16/2022,3010,2584,12
1/17/2022,2342,2907,16
1/18/2022,3245,3093,9
1/19/2022,3229,2848,13
1/20/2022,3764,3254,22
1/21/2022,4046,2804,16
1/22/2022,4116,2858,14
1/23/2022,3856,2814,9
1/24/2022,3214,3116,10
1/25/2022,4066,3559,16
1/26/2022,4744,3646,12
1/27/2022,5439,4409,10
1/28/2022,5522,3285,12
1/29/2022,5139,3767,5
1/30/2022,4915,3056,8
1/31/2022,4774,3232,13
2/1/2022,5566,3187,7
2/2/2022,5736,3196,7
2/3/2022,5720,3968,8
2/4/2022,7234,5254,11
2/5/2022,9117,6546,14
2/6/2022,10089,6460,9
2/7/2022,11034,6036,9
2/8/2022,13944,5421,13
2/9/2022,17134,5681,9
2/10/2022,19090,5712,10
2/11/2022,20939,5807,24
2/12/2022,22802,5442,15
2/13/2022,21072,5724,11
2/14/2022,21315,8517,24
2/15/2022,22133,7584,31
2/16/2022,27831,7912,21
2/17/2022,26701,11744,39
2/18/2022,27808,12488,36
2/19/2022,28825,18514,34
2/20/2022,26832,18459,37
2/21/2022,25099,17749,43
2/22/2022,27179,19037,43
2/23/2022,31199,20399,55
2/24/2022,32070,23332,46
2/25/2022,30644,22678,57
